,category,category_num_id,category_seq_id,name,idx,price,desc,long_desc
14,bed_bath_table,5,4,bed_bath_table-4,27,59.33,bed_bath_table-4,bed_bath_table-4
15,bed_bath_table,5,5,bed_bath_table-5,28,109.9,bed_bath_table-5,bed_bath_table-5
71,computers_accessories,6,1,computers_accessories-1,29,189.0,computers_accessories-1,computers_accessories-1
72,computers_accessories,6,2,computers_accessories-2,30,103.97,computers_accessories-2,computers_accessories-2
73,computers_accessories,6,3,computers_accessories-3,31,103.97,computers_accessories-3,computers_accessories-3
74,computers_accessories,6,4,computers_accessories-4,32,52.0,computers_accessories-4,computers_accessories-4
75,computers_accessories,6,5,computers_accessories-5,33,83.49,computers_accessories-5,computers_accessories-5
91,construction_tools_construction,7,1,construction_tools_construction-1,34,16.8,construction_tools_construction-1,construction_tools_construction-1
92,construction_tools_construction,7,2,construction_tools_construction-2,35,19.0,construction_tools_construction-2,construction_tools_construction-2
93,construction_tools_construction,7,3,construction_tools_construction-3,36,33.9,construction_tools_construction-3,construction_tools_construction-3
94,construction_tools_construction,7,4,construction_tools_construction-4,37,63.7,construction_tools_construction-4,construction_tools_construction-4
95,construction_tools_construction,7,5,construction_tools_construction-5,38,29.99,construction_tools_construction-5,construction_tools_construction-5
102,cool_stuff,8,1,cool_stuff-1,39,54.99,cool_stuff-1,cool_stuff-1
103,cool_stuff,8,2,cool_stuff-2,40,269.9,cool_stuff-2,cool_stuff-2
104,cool_stuff,8,3,cool_stuff-3,41,92.0,cool_stuff-3,cool_stuff-3
105,cool_stuff,8,4,cool_stuff-4,42,69.99,cool_stuff-4,cool_stuff-4
106,cool_stuff,8,5,cool_stuff-5,43,49.9,cool_stuff-5,cool_stuff-5
109,costruction_tools_tools,9,1,costruction_tools_tools-1,44,26.74,costruction_tools_tools-1,costruction_tools_tools-1
202,costruction_tools_tools,9,2,costruction_tools_tools-2,45,19.9,costruction_tools_tools-2,costruction_tools_tools-2
289,costruction_tools_tools,9,3,costruction_tools_tools-3,46,108.0,costruction_tools_tools-3,costruction_tools_tools-3
290,costruction_tools_tools,9,4,costruction_tools_tools-4,47,55.0,costruction_tools_tools-4,costruction_tools_tools-4
291,costruction_tools_tools,9,5,costruction_tools_tools-5,48,163.0,costruction_tools_tools-5,costruction_tools_tools-5
110,diapers_and_hygiene,10,1,diapers_and_hygiene-1,49,25.0,diapers_and_hygiene-1,diapers_and_hygiene-1
203,diapers_and_hygiene,10,2,diapers_and_hygiene-2,50,239.9,diapers_and_hygiene-2,diapers_and_hygiene-2
204,diapers_and_hygiene,10,3,diapers_and_hygiene-3,51,89.99,diapers_and_hygiene-3,diapers_and_hygiene-3
111,drinks,11,1,drinks-1,52,20.5,drinks-1,drinks-1
112,drinks,11,2,drinks-2,53,55.0,drinks-2,drinks-2
113,drinks,11,3,drinks-3,54,284.99,drinks-3,drinks-3
205,drinks,11,4,drinks-4,55,14.8,drinks-4,drinks-4
206,drinks,11,5,drinks-5,56,44.99,drinks-5,drinks-5
114,electronics,12,1,electronics-1,57,25.5,electronics-1,electronics-1
230,electronics,12,2,electronics-2,58,19.99,electronics-2,electronics-2
115,fashio_female_clothing,13,1,fashio_female_clothing-1,59,29.99,fashio_female_clothing-1,fashio_female_clothing-1
231,fashio_female_clothing,13,2,fashio_female_clothing-2,60,160.0,fashio_female_clothing-2,fashio_female_clothing-2
